Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU),Aphelion Distance (miles),Perihelion Distance (miles)
(2003 BS35),1.5143542942092931,0.2066516997430353,8.481792101202615,8,8,513.5,0.9956563319420396,140768025.91559836,92552038.10217224
(1999 RJ33),1.4909022292550098,0.1888805465581256,18.524230176964263,11,8,512.9,1.017175194622862,138588020.28555351,94552341.35426548
(2001 FR128),1.746120830836428,0.4042510711779929,45.29624010918102,14,8,506.5,0.7407860573622024,162312071.42664704,68860365.97870567
(2001 KW18),1.438684146900675,0.1578426396635407,7.219200372089201,10,8,505.9,1.046427555875696,133734046.28605698,97271518.20916484
(2002 TX59),1.4028372094383732,0.1461617267983222,13.000739187713098,7,8,494.6,1.045049814947,130401865.27598304,97143449.18892482
(2002 TZ57),1.498720464312574,0.2376214471138522,16.07585725275712,7,8,486.7,0.9232163368112396,139314770.63677967,85818319.87593465
(2002 FB),1.430065259734022,0.1865167039825966,7.036012703990653,8,7,483.3,0.9804617137741362,132932870.67168562,91139610.10416938
(1998 MV5),1.4276386653716842,0.1850053451076242,21.17362819798664,11,8,483.0,0.981867201020882,132707304.63381034,91270258.30580258
(1996 BT),2.203117080343397,0.8322147274751157,11.99181147834666,12,9,481.6,0.2017506977684005,204792526.72031257,18753898.978957955
(2000 BO19),1.6630696299993848,0.3846942530474629,16.86160490362548,11,8,480.8,0.7390052343098554,154591980.0078455,68694828.13426435
(2001 YC1),1.5215536904962879,0.2734857350374121,20.28191416602181,8,9,477.0,0.8680352128322417,141437251.60933438,80688913.95023397
(1991 TT),1.3862300810996622,0.1609747666516189,14.787938578440619,13,8,476.6,1.001815070127362,128858136.25477141,93124528.58197209
(2002 JU15),1.437432045585089,0.21383583993319602,10.731581363877519,12,8,470.7,0.9309805490936094,133617656.19747907,86540048.49648148
(2002 AJ69),1.656565659509762,0.4046713468541918,25.80388995681122,12,9,467.8,0.7020866518934655,153987398.18050265,65263031.50237308
(1992 YD3),1.3241559544486727,0.1365366057199912,27.328437151962515,12,9,459.3,1.00600384468921,123087985.70116062,93513899.50285338
(1999 LX1),2.010797075365438,0.7267641884479905,19.80369423949089,16,9,459.0,0.3181799659904349,186915265.402834,29576675.596744835
(1992 DU),1.3603854582111121,0.1741935581745358,24.991129960385862,13,8,455.5,0.9567545886582308,126455728.4704993,88935895.15089777
(2001 XP31),1.5907764208172381,0.3864965472500512,6.14098986903478,6,9,448.9,0.7038941630689624,147871906.3879613,65431050.1628464
(2003 JX2),1.3880258532749528,0.2438761055891727,9.688565565650654,6,8,430.6,0.8437492359611289,129025063.70700398,78431391.36476564
(2000 PN),1.8002537887823418,0.7623486605488742,22.865913271961826,12,9,377.1,0.2427628163673591,167344044.23258623,22566213.571301237
(2000 EZ106),1.343347705530937,0.4467833370779662,40.23766327817313,11,8,326.8,0.5136652570928437,124871970.41599548,47748168.64117173
(1999 XS35),34.66246337463027,0.946152158658747,19.359851900539372,18,5,"27,455.1",0.9590713757861772,3222077265.060454,89151253.96865578
