Asteroid Name,Aphelion Distance (AU),Eccentricity,Inclination (Degrees),Orbit ID,Orbit Uncertainty,Orbital Period,Perihelion Distance (AU)
(2001 BM61),1.6489600513758167,0.1911465019195008,24.94435856361458,12,9,594.9299857216417,1.119733889660927
(2002 EA),1.9604690186477411,0.4230415932426637,11.29106430009123,7,8,590.6252519856611,0.7948531419371079
(1998 UY24),1.8059997664796918,0.3222606478282471,16.92971692739247,11,9,583.0413441040528,0.9256851996364279
(2001 SB170),1.991727400357672,0.4638439905084564,34.51785651843191,11,8,579.6970398136962,0.7295016558423112
(2001 UE18),1.6029993839739298,0.1804001909982839,15.356685533107019,8,9,578.0355559101846,1.113027597719875
(2001 FP32),1.809925176246121,0.3328890745014085,29.259529761790056,13,9,577.9607505998954,0.905867474276064
(2002 OY21),2.2608299822831746,0.6689144358273204,13.872242094884811,14,8,575.9027813555582,0.4485120112294259
(2001 SZ169),1.6443517374476,0.2307682835935846,6.3400399500455284,7,8,564.0609895752242,1.027721892279742
163335 (2002 LJ),2.2138863725349838,0.6671307618164383,56.31282891416036,66,0,558.9550955568758,0.4420377136150705
(2001 YO2),2.1848183674824817,0.6882752344705655,48.01586052268147,11,8,537.720457524723,0.4034069679055951
(2000 HP40),1.49860687877683,0.1603395773490326,14.16052296285474,12,8,536.108077885736,1.084441925264861
(2002 XM14),1.529431505421679,0.1907254393040675,62.42003194393143,11,8,531.711467335622,1.039475574140797
(2002 CT118),1.725709256784137,0.3498238891355815,10.38525388121525,8,9,528.000343284347,0.8312306087404985
(2002 AS4),2.2830216032566155,0.8014395030920578,27.03895020931382,7,9,521.1154333983044,0.2516420358364013
(2000 WN148),1.4852938422633668,0.1735935855572961,12.43150047320625,11,7,520.0443794859701,1.045895592549463
(2003 BS35),1.5143542942092931,0.2066516997430353,8.481792101202615,8,8,513.5311276824597,0.9956563319420396
(1999 RJ33),1.4909022292550098,0.1888805465581256,18.524230176964263,11,8,512.9379618486734,1.017175194622862
(2001 FR128),1.746120830836428,0.4042510711779929,45.29624010918102,14,8,506.45716689572055,0.7407860573622024
(2001 KW18),1.438684146900675,0.1578426396635407,7.219200372089201,10,8,505.9088831424374,1.046427555875696
(2002 TX59),1.4028372094383732,0.1461617267983222,13.000739187713098,7,8,494.58448525317255,1.045049814947
(2002 TZ57),1.498720464312574,0.2376214471138522,16.07585725275712,7,8,486.74067815722435,0.9232163368112396
(2002 FB),1.430065259734022,0.1865167039825966,7.036012703990653,8,7,483.30515420897245,0.9804617137741362
(1998 MV5),1.4276386653716842,0.1850053451076242,21.17362819798664,11,8,482.9980922650655,0.981867201020882
(1996 BT),2.203117080343397,0.8322147274751157,11.99181147834666,12,9,481.6041699042312,0.2017506977684005
(2000 BO19),1.6630696299993848,0.3846942530474629,16.86160490362548,11,8,480.7654408437149,0.7390052343098554
(2001 YC1),1.5215536904962879,0.2734857350374121,20.28191416602181,8,9,477.0217953777184,0.8680352128322417
(1991 TT),1.3862300810996622,0.1609747666516189,14.787938578440619,13,8,476.55961266705805,1.001815070127362
(2002 JU15),1.437432045585089,0.21383583993319602,10.731581363877519,12,8,470.6948821003105,0.9309805490936094
(2002 AJ69),1.656565659509762,0.4046713468541918,25.80388995681122,12,9,467.7882650104647,0.7020866518934655
(1992 YD3),1.3241559544486727,0.1365366057199912,27.328437151962515,12,9,459.337594182151,1.00600384468921
(1999 LX1),2.010797075365438,0.7267641884479905,19.80369423949089,16,9,458.98790818589316,0.3181799659904349
(1992 DU),1.3603854582111121,0.1741935581745358,24.991129960385862,13,8,455.4931583138008,0.9567545886582308
(2001 XP31),1.5907764208172381,0.3864965472500512,6.14098986903478,6,9,448.8838244396439,0.7038941630689624
(2003 JX2),1.3880258532749528,0.2438761055891727,9.688565565650654,6,8,430.55543121337683,0.8437492359611289
(2000 PN),1.8002537887823418,0.7623486605488742,22.865913271961826,12,9,377.1041207374926,0.2427628163673591
(2000 EZ106),1.343347705530937,0.4467833370779662,40.23766327817313,11,8,326.7953259277709,0.5136652570928437
(1999 XS35),34.66246337463027,0.946152158658747,19.359851900539372,18,5,27455.05853491203,0.9590713757861772
(2000 DQ110),5.478495828286787,0.6296938680411539,58.27599529285488,47,0,2251.28969078029,1.244847660600221
(1997 EN23),5.3097982015187135,0.6361058224019879,6.9543352397782385,12,8,2135.494050021091,1.180977796971813
